title,control_title,category,priority
API Gateway,API Gateway methods request parameter should be validated,Compliance,p3
API Gateway,API Gateway V2 authorizer should be configured,Compliance,p3
API Gateway,API Gateway REST API stages should have AWS X-Ray tracing enabled,Compliance,p3
API Gateway,Access logging should be configured for API Gateway V2 Stages,Compliance,p3
AppStream,AppStream fleet idle disconnect timeout should be set to less than or equal to 10 mins,Compliance,p3
AppStream,AppStream fleet max user duration should be set to less than 10 hours,Compliance,p3
AppStream,AppStream fleet session disconnect timeout should be set to less than or equal to 5 mins,Compliance,p3
Athena,Athena workgroups should be encrypted at rest,Compliance,p3
Athena,Athena workgroups should enforce configuration,Compliance,p3
Auto Scaling,EC2 auto scaling group launch configurations user data should not have any sensitive data,Compliance,p3
Auto Scaling,EC2 auto scaling groups should cover multiple availability zones,Compliance,p3
Auto Scaling,Auto Scaling groups should not have any suspended processes,Compliance,p3
Auto Scaling,Ensure EC2 Auto Scaling Groups Propagate Tags to EC2 Instances that it launches,Compliance,p3
Auto Scaling,EC2 Auto Scaling groups should use EC2 launch templates,Compliance,p3
Auto Scaling,EC2 auto scaling group launch configurations should not have metadata response hop limit greater than 1,Compliance,p3
Auto Scaling,EC2 auto scaling groups should use multiple instance types in multiple availability zones,Compliance,p3
Auto Scaling,EC2 auto scaling group launch configurations user data should not have any sensitive data,Compliance,p3
Auto Scaling,EC2 auto scaling groups should cover multiple availability zones,Compliance,p3
Auto Scaling,Auto Scaling groups should not have any suspended processes,Compliance,p3
Auto Scaling,Ensure EC2 Auto Scaling Groups Propagate Tags to EC2 Instances that it launches,Compliance,p3
Auto Scaling,EC2 Auto Scaling groups should use EC2 launch templates,Compliance,p3
Auto Scaling,EC2 auto scaling group launch configurations should not have metadata response hop limit greater than 1,Compliance,p3
Auto Scaling,EC2 auto scaling groups should use multiple instance types in multiple availability zones,Compliance,p3
Backup,Backup plan min frequency and min retention check,Compliance,p3
Backup,Backup plan should exist in a region,Compliance,p3
Backup,Backup vaults should exist in a region,Compliance,p3
CloudFormation,CloudFormation stacks differ from the expected configuration,Compliance,p3
CloudFront,CloudFront distributions should have a default root object configured,Compliance,p3
CloudFront,CloudFront distributions should require encryption in transit,Compliance,p3
CloudFront,CloudFront distributions should not point to non-existent S3 origins,Compliance,p3
CloudFront,CloudFront distributions should encrypt traffic to non S3 origins,Compliance,p3
CloudTrail,CloudTrail multi region trails should be integrated with CloudWatch logs,Compliance,p3
CloudWatch,Ensure a log metric filter and alarm exist for S3 bucket policy changes,Compliance,p3
CloudWatch,Ensure a log metric filter and alarm exist for CloudTrail configuration changes,Compliance,p3
CloudWatch,Ensure a log metric filter and alarm exist for AWS Config configuration changes,Compliance,p3
CloudWatch,Ensure a log metric filter and alarm exist for AWS Management Console authentication failures,Compliance,p3
CloudWatch,Ensure a log metric filter and alarm exist for disabling or scheduled deletion of customer managed keys,Compliance,p3
CloudWatch,Ensure a log metric filter and alarm exist for IAM policy changes,Compliance,p3
CloudWatch,Ensure a log metric filter and alarm exist for changes to Network Access Control Lists (NACL),Compliance,p3
CloudWatch,Ensure a log metric filter and alarm exist for changes to network gateways,Compliance,p3
CloudWatch,Ensure AWS Organizations changes are monitored,Compliance,p3
CloudWatch,Ensure a log metric filter and alarm exist for usage of 'root' account,Compliance,p3
CloudWatch,Ensure a log metric filter and alarm exist for route table changes,Compliance,p3
CloudWatch,Ensure a log metric filter and alarm exist for VPC changes,Compliance,p3
CodeBuild,CodeBuild GitHub or Bitbucket source repository URLs should use OAuth,Compliance,p3
CodeDeploy,Codedeploy deployment groups lambda allatonce traffic shift should be disabled,Compliance,p3
Config,Config configuration recorder should not fail to deliver logs,Compliance,p3
DAX,Directory Service,Compliance,p3
DAX,Directory Service directories manual snapshots limit should not be less than 2,Compliance,p3
DMS,Ensure that all the expired DMS certificates are removed,Compliance,p3
DocumentDB,DocumentDB instance should be encrypted at rest,Compliance,p3
DynamoDB,DynamoDB tables should be in a backup plan,Compliance,p3
DynamoDB,DynamoDB table should be protected by backup plan,Compliance,p3
EBS,EBS volumes should be in a backup plan,Compliance,p3
EBS,EBS volumes should be protected by a backup plan,Compliance,p3
EBS,EBS volume snapshots should exist,Compliance,p3
EC2,Ensure Images (AMI's) are encrypted,Compliance,p3
EC2,Ensure Images (AMI) are not older than 90 days,Compliance,p3
EC2,EC2 AMIs should restrict public access,Compliance,p3
EC2,EC2 instances should not use key pairs in running state,Compliance,p3
EC2,EC2 instances high level findings should not be there in inspector scans,Compliance,p3
EC2,EC2 instance IAM should not allow pass role and lambda invoke function access.,Compliance,p3
EC2,EC2 instance IAM role should not be attached with credentials exposure access,Compliance,p3
EC2,EC2 instance IAM role should not allow to alter critical s3 permissions configuration,Compliance,p3
EC2,EC2 instance IAM role should not allow cloud log tampering access,Compliance,p3
EC2,EC2 instance IAM role should not allow database management write access,Compliance,p3
EC2,EC2 instance IAM role should not allow destruction KMS access,Compliance,p3
EC2,EC2 instance IAM role should not allow destruction RDS access,Compliance,p3
EC2,EC2 instance IAM role should not allow elastic IP hijacking access.,Compliance,p3
EC2,EC2 instance IAM role should not allow management level access,Compliance,p3
EC2,EC2 instance IAM role should not allow new group creation with attached policy access,Compliance,p3
EC2,EC2 instance IAM role should not allow new role creation with attached policy access,Compliance,p3
EC2,EC2 instance IAM role should not allow new user creation with attached policy access,Compliance,p3
EC2,EC2 instance IAM role should not allow oraganization write access,Compliance,p3
EC2,EC2 instance IAM role should not allow privilege escalation risk access,Compliance,p3
EC2,EC2 instance IAM role should not allow write access to resource based policies,Compliance,p3
EC2,EC2 instance IAM role should not allow write permission on critical s3 configuration,Compliance,p3
EC2,EC2 instance IAM role should not allow write level access,Compliance,p3
EC2,Ensure no AWS EC2 Instances are older than 180 days,Compliance,p3
EC2,EC2 instances user data should not have secrets,Compliance,p3
EC2,Paravirtual EC2 instance types should not be used,Compliance,p3
EC2,AWS EC2 launch templates should not assign public IPs to network interfaces,Compliance,p3
EC2,Ensure unused ENIs are removed,Compliance,p3
EC2,Ensure instances stopped for over 90 days are removed,Compliance,p3
EC2,EC2 transit gateways should have auto accept shared attachments disabled,Compliance,p3
ECS,ECS cluster container instances should have connected agent,Compliance,p3
ECS,ECS cluster instances should be in a VPC,Compliance,p3
ECS,ECS cluster should be configured with active services,Compliance,p3
ECS,At least one instance should be registered with ECS cluster,Compliance,p3
ECS,ECS services should be attached to a load balancer,Compliance,p3
ECS,AWS ECS services should not have public IP addresses assigned to them automatically,Compliance,p3
ECS,ECS task definition containers should not have secrets passed as environment variables,Compliance,p3
ECS,ECS task definitions should not share the host's process namespace,Compliance,p3
EFS,EFS access points should enforce a root directory,Compliance,p3
EFS,EFS access points should enforce a user identity,Compliance,p3
EFS,EFS file systems should be encrypted with CMK,Compliance,p3
EFS,EFS file systems should be protected by backup plan,Compliance,p3
ElastiCache,Minor version upgrades should be automatically applied to ElastiCache for Redis cache clusters,Compliance,p3
ElastiCache,ElastiCache clusters should not use the default subnet group,Compliance,p3
ElastiCache,ElastiCache for Redis replication groups should be encrypted with CMK,Compliance,p3
ElastiCache,ElastiCache for Redis replication groups before version 6.0 should use Redis Auth,Compliance,p3
ElastiCache,Elastic Beanstalk,Compliance,p3
Elasticsearch,Elasticsearch domains should have at least three data nodes,Compliance,p3
Elasticsearch,Elasticsearch domains should be configured with at least three dedicated master nodes,Compliance,p3
ELB,Classic Load Balancers should have connection draining enabled,Compliance,p3
ELB,ELB application load balancers should be configured with defensive or strictest desync mitigation mode,Compliance,p3
ELB,ELB application load balancers secured listener certificate should not expire within next 30 days,Compliance,p3
ELB,ELB application load balancers secured listener certificate should not expire within next 7 days,Compliance,p3
ELB,ELB application load balancers should have at least one outbound rule,Compliance,p3
ELB,ELB application and network load balancers should use listeners,Compliance,p3
ELB,ELB classic load balancers should be configured with defensive or strictest desync mitigation mode,Compliance,p3
ELB,ELB classic load balancers should span multiple availability zones,Compliance,p3
ELB,ELB classic load balancers should have at least one registered instance,Compliance,p3
ELB,ELB classic load balancers should have at least one inbound rule,Compliance,p3
ELB,ELB classic load balancers should have at least one outbound rule,Compliance,p3
ELB,ELB listeners SSL/TLS protocol version should be checked,Compliance,p3
EMR,EMR clusters client side encryption (CSE CMK) enabled with CMK,Compliance,p3
EMR,EMR clusters server side encryption (SSE KMS) enabled with KMS,Compliance,p3
EMR,EMR clusters encryption in transit should be enabled,Compliance,p3
EMR,EMR clusters local disk encryption should be enabled,Compliance,p3
EventBridge,EventBridge custom event buses should have a resource-based policy attached,Compliance,p3
FSx,FSx file system should be protected by backup plan,Compliance,p3
IAM,Ensure IAM policy should not grant full access to service,Compliance,p3
IAM,IAM unattached custom policy should not have statements with admin access,Compliance,p3
IAM,IAM custom policy should not have overly permissive STS role assumption,Compliance,p3
IAM,Ensure IAM role not attached with Administratoraccess policy,Compliance,p3
IAM,IAM roles that have not been used in 60 days should be removed,Compliance,p3
IAM,Ensure that all the expired SSL/TLS certificates stored in AWS IAM are removed,Compliance,p3
IAM,Ensure IAM users are assigned access keys and passwords at setup,Compliance,p3
IAM,Ensure there is only one active access key available for any single IAM user,Compliance,p3
KMS,KMS key should be in use,Compliance,p3
Lambda,Lambda functions CORS configuration should not allow all origins,Compliance,p3
Lambda,Lambda functions should operate in more than one availability zone,Compliance,p3
Lambda,Lambda functions should restrict public URL,Compliance,p3
Lambda,Lambda functions should use latest runtimes,Compliance,p3
Lightsail,Disable IPv6 Networking if not in use within your organization,Compliance,p3
Neptune,Neptune DB clusters should be configured to copy tags to snapshots,Compliance,p3
Neptune,Neptune DB clusters should not use public_subnet,Compliance,p3
Neptune,Neptune DB cluster snapshots should not be public,Compliance,p3
Network Firewall,Networkfirewall firewall should be in a VPC,Compliance,p3
OpenSearch,OpenSearch domains should have at least three data nodes,Compliance,p3
OpenSearch,OpenSearch domains should be updated to the latest service software version,Compliance,p3
RDS,Aurora MySQL DB clusters should publish audit logs to CloudWatch Logs,Compliance,p3
RDS,RDS Aurora PostgreSQL clusters should not be exposed to local file read vulnerability,Compliance,p3
RDS,RDS Aurora clusters should be protected by backup plan,Compliance,p3
RDS,RDS DB clusters should be configured to copy tags to snapshots,Compliance,p3
RDS,An RDS event notifications subscription should be configured for critical cluster events,Compliance,p3
RDS,RDS DB instances backup retention period should be greater than or equal to 7,Compliance,p3
RDS,RDS DB instances CA certificates should not expire within next 7 days,Compliance,p3
RDS,RDS DB instances connections should be encrypted,Compliance,p3
RDS,RDS DB instances should be configured to copy tags to snapshots,Compliance,p3
RDS,An RDS event notifications subscription should be configured for critical database instance events,Compliance,p3
RDS,RDS DB instances should be in a backup plan,Compliance,p3
RDS,RDS DB instances should not use public subnet,Compliance,p3
RDS,RDS PostgreSQL DB instances should not be exposed to local file read vulnerability,Compliance,p3
RDS,RDS DB instance should be protected by backup plan,Compliance,p3
RDS,An RDS event notifications subscription should be configured for critical database parameter group events,Compliance,p3
Redshift,AWS Redshift clusters should not use the default Admin username,Compliance,p3
Redshift,Redshift clusters should not use the default database name,Compliance,p3
Reliability,ELB classic load balancers should span multiple availability zones,AWS Well-Architected Framework,p3
Reliability,Lambda functions should operate in more than one availability zone,AWS Well-Architected Framework,p3
Reliability,ECS cluster instances should be in a VPC,AWS Well-Architected Framework,p3
Reliability,Both VPN tunnels provided by AWS Site-to-Site VPN should be in UP status,AWS Well-Architected Framework,p3
Reliability,EC2 auto scaling groups should cover multiple availability zones,AWS Well-Architected Framework,p3
Reliability,DynamoDB tables should be in a backup plan,AWS Well-Architected Framework,p3
Reliability,DynamoDB table should be protected by backup plan,AWS Well-Architected Framework,p3
Reliability,FSx file system should be protected by backup plan,AWS Well-Architected Framework,p3
Reliability,RDS Aurora clusters should be protected by backup plan,AWS Well-Architected Framework,p3
Route 53,Route 53 domains should not expire within next 30 days,Compliance,p3
Route 53,Route 53 domains should not expire within next 7 days,Compliance,p3
Route 53,Route 53 domains should not be expired,Compliance,p3
S3,S3 buckets should have lifecycle policies configured,Compliance,p3
S3,AWS S3 permissions granted to other AWS accounts in bucket policies should be restricted,Compliance,p3
S3,S3 buckets should prohibit public read access,Compliance,p3
S3,S3 buckets static website hosting should be disabled,Compliance,p3
S3,S3 public access should be blocked at bucket levels,Compliance,p3
SageMaker,SageMaker notebook instances root access should be disabled,Compliance,p3
Secrets Manager,Secrets Manager secrets should be rotated within a specified number of days,Compliance,p3
Secrets Manager,Secrets Manager secrets should be rotated within specific number of days,Compliance,p3
Secrets Manager,Remove unused Secrets Manager secrets,Compliance,p3
Secrets Manager,Secrets Manager secrets should be rotated as per the rotation schedule,Compliance,p3
Security,VPC EIPs should be associated with an EC2 instance or ENI,AWS Well-Architected Framework,p3
Security,SQS queue policies should prohibit public access,AWS Well-Architected Framework,p3
Security,WAF global rule group should have at least one rule,AWS Well-Architected Framework,p3
Security,VPC network access control lists (network ACLs) should be associated with a subnet.,AWS Well-Architected Framework,p3
Security,SSM managed instance associations should be compliant,AWS Well-Architected Framework,p3
SNS,Logging of delivery status should be enabled for notification messages sent to a topic,Compliance,p3
SNS,SNS topic policies should prohibit publishing access,Compliance,p3
SQS,SQS queues should be configured with a dead-letter queue.,Compliance,p3
SQS,AWS SQS queues should be encrypted at rest,Compliance,p3
SQS,SQS queues should be encrypted with KMS CMK,Compliance,p3
SQS,SQS queue policies should prohibit public access,Compliance,p3
SSM,SSM managed instance associations should be compliant,Compliance,p3
VPC,VPC should be configured to use VPC endpoints,Compliance,p3
VPC,VPC EIPs should be associated with an EC2 instance or ENI,Compliance,p3
VPC,VPC gateway endpoints should restrict public access,Compliance,p3
VPC,VPC internet gateways should be attached to authorized vpc,Compliance,p3
VPC,VPCs should exist in multiple regions,Compliance,p3
VPC,VPC network access control lists (network ACLs) should be associated with a subnet.,Compliance,p3
VPC,VPCs should be in use,Compliance,p3
VPC,VPCs peering connection should not be allowed in cross account,Compliance,p3
VPC,VPCs peering connection route tables should have least privilege,Compliance,p3
VPC,VPC route table should restrict public access to IGW,Compliance,p3
VPC,VPCs subnets should exist in multiple availability zones,Compliance,p3
VPC,Both VPN tunnels provided by AWS Site-to-Site,Compliance,p3
WAF,WAF regional rule should have at least one condition,Compliance,p3
WAF,WAF regional rule group should have at least one rule attached,Compliance,p3
WAF,WAF regional web ACL should have at least one rule or rule group attached,Compliance,p3
WAF,WAF global rule should have at least one condition,Compliance,p3
WAF,WAF global rule group should have at least one rule,Compliance,p3
WAFv2,A WAFV2 web ACL should have at least one rule or rule group,Compliance,p3
